Sl No,Particulars,"September 30,2025","Quarter ended June 30, 2025","September 30,2024",30-Sep-25,"Half year ended September 30, 2024","Year ended March 31, 2025"
,,(Unaudited),(Unaudited),(Unaudited),(Unaudited),(Unaudited),(Audited)
1,(a) Revenue from Operations,"64,036.97","60,283.26","57,910.86","1,24,320.23","1,02,404.66","2,05,690.53"
,(b) Other Income (Net),110.45,138.92,69.22,249.37,146.95,225.03
,Total Income,"64,147.42","60,422.18","57,980.08","1,24,569.60","1,02,551.61","2,05,915.56"
2,(a) Cost of materials consumed,"53,639.54","54,150.05","52,024.46","1,07,789.59","91,921.08","1,84,400.11"
,(b) Purchase of stock-in-trade - Traded goods,14.93,72.1,201.69,87.03,607.24,810.62
,"(c) Changes in inventories of work-in-progress, stock-in-trade and finished",,,,,,
,goods,"1,076.11","-1,030.81",110.16,45.3,-468,"-1,053.94"
,(d) Employee benefit expenses,908.51,763.83,588.2,"1,672.34","1,231.29","2,657.74"
,(e) Finance costs,156.79,317.87,409.38,474.66,642.75,"1,218.34"
,(f) Depreciation and amortization expense,689.73,469.65,405.52,"1,159.38",762.58,"1,664.10"
,(g) Other expenses,"3,041.49","2,235.44","2,107.26","5,276.93","3,935.74","8,390.12"
,Total Expenses,"59,527.10","56,978.13","55,846.67","1,16,505.23","98,632.68","1,98,087.09"
3,Profit/ (loss) before exceptional items and tax (1-2),"4,620.32","3,444.05","2,133.41","8,064.37","3,918.93","7,828.47"
4,,,,,,,
5,Profit/ (loss) before tax (3+4),"4,620.32","3,444.05","2,133.41","8,064.37","3,918.93","7,828.47"
6,(a) Current tax,"1,265.05",856.18,603.14,"2,121.23","1,069.26","2,110.51"
,(b) Deferred tax charge/ (credit),-31.91,71.37,4.59,39.46,28.24,-87.5
,Total Tax Expenses,"1,233.14",927.55,607.73,"2,160.69","1,097.50","2,023.01"
7,Net Profit for the period (5-6),"3,387.18","2,516.50","1,525.68","5,903.68","2,821.43","5,805.46"
8,(a) items that will not be reclassified to profit or loss,-,-,-,-,-,-18.23
,(b) income tax relating to items that will not be reclassified to profit or loss,-,-,-,-,-,4.59
,"Total other comprehensive income , net of income tax",-,-,-,-,-,-13.64
9,Total comprehensive income/ (loss) for the period (7+8),"3,387.18","2,516.50","1,525.68","5,903.68","2,821.43","5,791.82"
